Area_Criadora_Evento,Area_Solucionadora,UF,Segmentacao_Cliente,Nivel_1,Nivel_2,Nivel_3,Acao_Resolucao,contrato,Nome_tecnologia_aparelho
Area_3,Area_1,MG,Seg_2,N1_1,N2_1,N3_2,AR_1,Contr_3,GSM
Area_14,Area_17,PR,Seg_8,N1_1,N2_4,N3_22,AR_12,Contr_1,GSM
Area_3,Area_1,SP,Seg_2,N1_1,N2_4,N3_16,AR_15,Contr_3,GSM
Area_12,Area_4,CE,Seg_9,N1_2,N2_10,N3_3,AR_2,Contr_3,GSM
Area_9,Area_4,SC,Seg_2,N1_2,N2_5,N3_2,AR_13,Contr_2,GSM
Area_12,Area_1,CE,Seg_7,N1_1,N2_10,N3_13,AR_7,Contr_3,GSM
Area_14,Area_10,SP,Seg_8,N1_1,N2_4,N3_22,AR_12,Contr_2,GSM
Area_14,Area_5,SP,Seg_8,N1_2,N2_2,N3_20,AR_1,Contr_2,GSM
Area_3,Area_1,BA,Seg_1,N1_1,N2_1,N3_1,AR_1,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_4,SP,Seg_1,N1_2,N2_5,N3_3,AR_5,Contr_2,3G - WCDMA (UMTS)
Area_12,Area_4,CE,Seg_7,N1_2,N2_10,N3_3,AR_3,Contr_3,GSM
Area_3,Area_2,RS,Seg_1,N1_1,N2_1,N3_2,AR_2,Contr_1,3G - WCDMA (UMTS)
Area_3,Area_1,ES,Seg_2,N1_7,N2_6,N3_14,AR_9,Contr_3,GSM
Area_14,Area_16,BA,Seg_8,N1_1,N2_6,N3_25,AR_1,Contr_2,GSM
Area_20,Area_5,SP,Seg_4,N1_1,N2_6,N3_14,AR_1,Contr_2,GSM
Area_9,Area_1,RS,Seg_2,N1_1,N2_4,N3_16,AR_7,Contr_2,GSM
Area_3,Area_1,ES,Seg_1,N1_1,N2_6,N3_42,AR_9,Contr_1,3G - WCDMA (UMTS)
Area_22,Area_15,RJ,Seg_15,N1_8,N2_1,N3_2,AR_15,Contr_2,GSM
Area_23,Area_16,BA,Seg_16,N1_1,N2_6,N3_14,AR_1,Contr_3,GSM
Area_14,Area_2,SP,Seg_8,N1_2,N2_2,N3_2,AR_2,Contr_2,GSM
Area_28,Area_1,RS,Seg_1,N1_1,N2_9,N3_10,AR_7,Contr_2,3G - WCDMA (UMTS)
Area_13,Area_4,RS,Seg_4,N1_2,N2_5,N3_2,AR_5,Contr_2,GSM
Area_19,Area_2,MG,Seg_4,N1_2,N2_5,N3_3,AR_2,Contr_2,GSM
